"ID","Nombre completo","Fecha de nacimiento","Direccion","Localidad y Codigo postal","Telefono","Correo electronico","Fecha de alta","Grupo de clientes"
"C0169","Blanca Molina Francisco",1977-06-02,"487 East 6th St.","Canyon Country; CA 91351","(478) 658-1534","ntegrity@msn.com",2007-08-09 08:45:12,"E"
"C0170","Jonatan Fonseca Quevedo",1981-12-22,"51 Coffee St.","Oxnard; CA 93033","(671) 615-3675","dgriffith@aol.com",2012-05-19 09:01:49,"D"
"C0171","Humberto Vila",1995-03-03,"9586 Sycamore Dr.","Livermore; CA 94550","(713) 795-1422","qrczak@verizon.net",2010-08-18 16:10:16,"C"
"C0172","Isaura Fuentes Guardiola",1988-04-16,"801 SW. Prairie St.","Cerritos; CA 90703","(201) 705-6808","bruck@live.com",2012-08-20 06:45:49,"B"
"C0173","Rufina Vargas Andres",1979-09-04,"830 High Point Court","Hayward; CA 94544","(322) 327-1204","camenisch@yahoo.ca",2008-12-27 08:12:01,"A"
"C0174","Reinaldo Barral Lago",1984-06-03,"791 Silver Spear Street","National City; CA 91950","(644) 469-5761","mjewell@comcast.net",2019-11-14 23:57:29,"E"
"C0175","Jose Ignacio Vila-Rios",1991-04-06,"8882 Old Smith Ave.","Oceanside; CA 92056","(674) 440-0703","daveed@optonline.net",2020-04-23 19:44:38,"E"
"C0176","Roberto Canovas Segura",1998-02-18,"970 Myers Street","Oceanside; CA 92054","(640) 568-2625","quantaman@hotmail.com",2011-10-16 23:04:59,"D"
"C0177","Romulo Ortega-Giner",1980-01-03,"948 Railroad Avenue","Unit 2","(409) 889-4836","szymansk@gmail.com",2017-09-30 22:55:39,"E"
"C0178","Gaston Leon Solana",1971-04-01,"San Diego; CA 92114","7069 Andover St.","(359) 210-8594","jemarch@yahoo.ca",2014-10-24 13:11:04,"E"
"C0179","Emilia Jove-Ropero",1986-10-11,"Pico Rivera; CA 90660","81 Morris Drive","(474) 494-9364","rhialto@msn.com",2016-07-12 17:23:01,"E"
"C0180","Calixto Pinedo Torrijos",1993-07-05,"Los Angeles; CA 90001","8785 Marconi Road","(681) 820-0747","flakeg@comcast.net",2010-11-01 03:05:03,"E"
"C0181","Ciro Ledesma Bru",1982-03-13,"Modesto; CA 95350","632 Manor Ave.","(921) 657-7404","rnewman@optonline.net",2005-09-15 01:34:39,"C"
"C0182","Dora del Segarra",1977-06-16,"Simi Valley; CA 93065","51 College Street","(451) 889-2527","jshearer@yahoo.ca",2011-10-09 20:08:39,"D"
"C0183","Juan Bautista de Salazar",1977-01-30,"Los Angeles; CA 90004","198 Ramblewood Drive","(487) 654-5535","tubesteak@msn.com",2005-07-27 21:44:36,"C"
"C0184","Narciso del Anaya",1998-10-20,"Folsom; CA 95630","13 E. Walnut St.","(243) 692-9341","jsnover@gmail.com",2010-07-15 20:24:55,"D"
"C0185","Martirio Reina Malo Alonso",1993-12-25,"Tulare; CA 93274","7792 Anderson Lane","(726) 607-0923","chrwin@live.com",2007-08-18 20:02:45,"D"
"C0186","Maximiliano Maestre Mendizabal",1987-07-28,"San Francisco; CA 94109","7728 Mayfield Drive","(861) 258-0892","jadavis@msn.com",2016-07-22 10:54:49,"D"
"C0187","Noa Dominguez-Llorente",1977-09-05,"Tracy; CA 95376","8704 Thatcher St.","(514) 904-4726","stevelim@gmail.com",2005-09-12 18:11:15,"E"
"C0188","Miguel Mur Cruz",1988-10-13,"Los Angeles; CA 90066","9160 Mammoth Ave.","(829) 721-4200","zavadsky@verizon.net",2013-08-21 16:20:36,"E"
"C0189","Gala Gimenez-Lasa",1977-08-30,"Riverside; CA 92509","8652 Arlington Drive","(983) 385-7043","mobileip@comcast.net",2006-11-30 05:36:43,"D"
"C0190","Saturnino Palacios Lamas",1970-06-01,"Los Angeles; CA 90026","9048 Birchwood Avenue","(223) 360-1632","lauronen@icloud.com",2013-02-13 08:30:52,"C"
"C0191","Ariel Castellanos Bauza",1975-11-22,"Fairfield; CA 94533","35 Charles St.","(412) 836-0738","matty@att.net",2019-01-20 18:07:40,"D"
"C0192","Trinidad Salas Gimenez",1975-05-03,"Sylmar; CA 91342","634 Theatre Street","(238) 664-3657","simone@mac.com",2014-07-21 09:07:32,"E"
"C0193","Adalberto del Seco",1996-10-29,"Daly City; CA 94015","436 Ketch Harbour Street","(759) 680-2696","claesjac@verizon.net",2007-05-02 17:49:23,"D"
"C0194","Eustaquio Palacios Francisco",1989-09-25,"Van Nuys; CA 91405","19 Strawberry Street","(395) 780-5461","goldberg@yahoo.com",2007-04-08 11:24:52,"D"
"C0195","Susana Castro Ruiz",1993-10-08,"Victorville; CA 92392","48 Fairfield Lane","(372) 818-3567","lahvak@aol.com",2006-02-03 17:58:11,"A"
"C0196","Emelina Melisa Palau Seco",1998-05-01,"San Pedro; CA 90731","9814 Primrose Street","(935) 960-4873","jipsen@sbcglobal.net",2005-04-26 22:15:39,"D"
"C0197","Sandalio Baeza Grande",1995-10-22,"San Diego; CA 92115","8053 Jennings St.","(971) 288-1186","elmer@mac.com",2016-06-23 03:50:55,"E"
"C0198","Gregorio Guerrero Palomino",1984-02-16,"Rancho Cucamonga; CA 91730","82 Bear Hill Ave.","(994) 447-4889","sisyphus@icloud.com",2016-03-04 12:16:50,"E"
"C0199","Socorro de Higueras",1976-09-02,"Union City; CA 94587","9428 3rd Ave.","(232) 476-5035","stefano@verizon.net",2007-05-20 18:26:30,"C"
"C0200","Otilia Viana Torres",1998-08-20,"Montebello; CA 90640","83 Front Ave.","(288) 574-6749","muzzy@aol.com",2016-05-26 04:15:30,"A"
"C0201","Luis Guzman Alsina",1972-03-23,"San Francisco; CA 94122","71 Wakehurst Drive","(969) 763-9226","bmidd@att.net",2014-07-24 18:33:00,"A"
"C0202","Julie Rosa Lumbreras",1972-01-07,"Costa Mesa; CA 92627","715 Redwood Dr.","(732) 708-8561","dhrakar@outlook.com",2011-12-05 18:25:25,"A"
"C0203","Samu Paulino Fabra Galvez",1970-10-30,"Long Beach; CA 90813","316 Ohio St.","(314) 254-1244","openldap@mac.com",2013-07-24 03:15:46,"A"
"C0204","Vicente Egea Sanchez",1994-03-10,"Anaheim; CA 92801","9185 Mechanic St.","(460) 682-5923","dmath@live.com",2019-08-29 14:10:40,"A"
"C0205","Juan Carlos del Cordero",1970-02-16,"Alameda; CA 94501","7371 Wrangler Street","(200) 565-5639","dobey@msn.com",2018-01-22 07:54:12,"D"
"C0206","Carla Blanes Espana",1972-12-10,"Oakland; CA 94601","72 St Paul Ave.","(357) 769-3070","rbarreira@icloud.com",2019-05-21 12:23:15,"D"
"C0207","Toribio Herranz Jurado",1989-12-24,"Long Beach; CA 90805","67 William Drive","(587) 626-3175","gilmoure@live.com",2019-06-21 21:36:55,"E"
"C0208","America Rosell Ferrandiz",1989-01-28,"Merced; CA 95340","7732 Cobblestone Lane","(465) 293-1802","grady@verizon.net",2012-03-25 04:41:35,"A"
"C0209","Ines Calderon Suarez",1997-10-13,"Huntington Park; CA 90255","78 Summer Street","(709) 815-7677","sekiya@gmail.com",2006-03-05 03:03:58,"E"
"C0210","Trinidad Leiva Ribera",1972-08-04,"San Jose; CA 95111","9268 NE. Lookout Drive","(605) 810-1781","dogdude@yahoo.com",2007-06-30 03:25:30,"C"
"C0211","Luisa Saldana Pineiro",1998-04-05,"Santa Ana; CA 92704","9551 Talbot Ave.","(256) 681-2246","sfoskett@att.net",2017-07-18 14:49:38,"D"
"C0212","Yago Diez Melendez",1979-11-06,"Spring Valley; CA 91977","82 Edgewood Ave.","(304) 471-5232","hampton@icloud.com",2007-08-26 21:36:38,"C"
"C0213","Alberto Rius Rius",1982-03-10,"Salinas; CA 93905","63 East Penn St.","(411) 283-4519","singer@mac.com",2016-08-14 05:09:17,"B"
"C0214","Beatriz Jimenez Anton",1982-01-30,"La Habra; CA 90631","1 Spruce Street","(442) 496-8157","pereinar@mac.com",2020-01-12 12:53:37,"A"
"C0215","Adolfo Gaya Canales",1980-05-31,"Fontana; CA 92336","78 Devon St.","(205) 909-7964","jfreedma@comcast.net",2006-05-14 12:47:56,"A"
"C0216","Teofilo de Nunez",1995-03-29,"Georgetown; ON L7G 9Y7","425 Cherry Hill Court","(730) 534-7609","hampton@outlook.com",2010-08-02 22:02:45,"B"
"C0217","Bruno Cabezas Cordero",1975-09-13,"Donnacona; QC G3M 1C3","900 Charles Lane","(770) 286-4391","attwood@yahoo.com",2013-04-28 20:59:34,"B"
"C0218","Pepe Juanito Adan Anaya",1981-02-04,"Manotick; ON K4M 6S8","316 East Oak Meadow Court","(732) 906-0070","howler@mac.com",2019-11-29 13:47:59,"B"
"C0219","Isabela Sole Nunez",1980-01-21,"Essex; ON N0R 2G6","407 Lafayette Court","(943) 428-2313","quantaman@icloud.com",2017-12-06 16:50:13,"D"
"C0220","Amaya Izquierdo Gonzalo",1993-05-24,"Lockport; MB R1B 5H9","17 Euclid Rd.","(785) 951-2152","tellis@gmail.com",2005-05-01 05:49:05,"A"
"C0221","Gervasio del Galan",1985-08-16,"Bonnyville; AB T9N 2P9","821 Surrey St.","(406) 847-9870","jguyer@verizon.net",2006-08-20 03:16:46,"E"
"C0222","Isaac Pujol-Yanez",1998-02-25,"Petit-Rocher; NB E8J 4K5","714 Depot St.","(965) 911-5076","adhere@icloud.com",2006-10-15 15:25:08,"E"
"C0223","Valerio Valentin Cespedes",1989-05-05,"Farnham; QC J2N 4J1","82 Clark Ave.","(599) 327-2008","jaarnial@verizon.net",2012-08-01 14:06:20,"D"
"C0224","Cleto Benito Mendizabal",1995-10-11,"Winnipeg; MB R2C 4A3","9949 Dogwood Ave.","(656) 470-6146","plover@live.com",2018-12-06 07:05:41,"B"
"C0225","Erasmo Cabeza Martinez",1999-05-09,"Saint-Raymond; QC G3L 7P7","9 Kingston Lane","(327) 329-5055","wortmanj@verizon.net",2014-01-04 12:18:42,"C"
"C0226","Quirino Rosario Vazquez Carvajal",2000-01-17,"St. George; NB E5C 6A9","652 Old Tower Lane","(208) 903-9126","violinhi@aol.com",2012-12-16 06:23:52,"A"
"C0227","Marcos Alcantara Codina",1992-11-28,"Port Moody; BC V3H 3N3","1 Trusel Lane","(440) 419-1193","uncle@sbcglobal.net",2010-04-03 06:20:02,"C"
"C0228","Paloma Abascal Lledo",1998-05-14,"Delhi; ON N4B 2V1","81 Canterbury Street","(357) 843-1297","krueger@icloud.com",2007-07-23 22:05:45,"B"
"C0229","Ana Sofia Nadal-Campo",1990-04-23,"Oromocto; NB E2V 6A5","1 Westminster Street","(726) 820-4884","daveewart@optonline.net",2015-09-02 22:24:53,"B"
"C0230","Estela Cases Peral",1982-11-06,"Belledune; NB E8G 4R8","83 Beaver Ridge Ave.","(741) 507-6188","firstpr@aol.com",2017-05-16 22:29:10,"E"
"C0231","Borja Diez-Zorrilla",1971-01-28,"Bouctouche; NB E4S 8M3","170 Devonshire St.","(847) 529-3256","trieuvan@sbcglobal.net",2008-09-20 11:15:56,"E"
"C0232","Eva Maria de Bertran",1992-10-20,"Caledon; ON L7C 9T6","7489 Central Drive","(622) 751-8803","tbusch@gmail.com",2006-07-28 17:38:26,"A"
"C0233","Elena del Tome",1984-03-11,"Buena Vista; SK S2V 1L1","72 Wild Rose Circle","(681) 720-0173","yfreund@me.com",2013-07-31 02:29:35,"C"
"C0234","Ivan de Manzanares",1978-04-13,"Digby Neck; NS B0V 8H6","9562 South Forest Drive","(947) 794-9523","jfmulder@mac.com",2017-06-27 10:08:38,"B"
"C0235","Adelina Roma Feijoo",1989-02-21,"Outaouais-Sud; QC J0X 9K0","94 Tallwood Avenue","(697) 343-2772","parrt@mac.com",2014-08-25 20:15:26,"D"
"C0236","Joel Estevez",1998-11-07,"Wetaskiwin; AB T9A 7X8","381 Clay Rd.","(864) 686-9890","wiseb@aol.com",2012-11-09 13:29:31,"C"
"C0237","ursula Anabel Exposito Vazquez",1999-04-03,"Steinbach; MB R5G 1B0","22 Fieldstone Dr.","(259) 588-3616","barnett@outlook.com",2013-08-30 13:21:54,"B"
"C0238","Manuelita Gilabert Manjon",1988-03-19,"La Sarre; QC J9Z 2V9","988 Bohemia Dr.","(711) 535-5569","barlow@yahoo.com",2008-02-13 12:32:33,"A"
"C0239","Amparo Galvan Polo",1982-05-17,"Apohaqui; NB E5P 9G5","7582 Lyme Ave.","(390) 414-6347","telbij@hotmail.com",2010-10-22 10:32:35,"E"
"C0240","Amparo del Ayuso",1994-11-12,"Lloydminster; SK S9V 5V1","226 Taylor Rd.","(622) 524-5931","dalamb@msn.com",2016-09-17 07:33:17,"B"
"C0241","Angelica del Ortuno",1995-03-11,"Highlands; BC V9B 9L3","62 E. Foxrun Drive","(832) 663-7857","psichel@live.com",2005-09-11 18:48:13,"A"
"C0242","Amalia Itziar Sebastian Revilla",1980-07-20,"Saint-Hippolyte; QC J8A 8X2","18 Theatre Rd.","(774) 962-9792","cameron@mac.com",2005-11-01 17:05:14,"D"
"C0243","America Moran Penalver",1984-04-28,"Chestermere; AB T1X 8K6","562 Hilldale Lane","(456) 478-8124","klaudon@icloud.com",2013-10-18 14:09:54,"A"
"C0244","Elisa de Chaparro",1976-08-15,"Leduc; AB T9E 6E1","235 Bowman Street","(689) 369-1765","gavinls@msn.com",2008-11-29 14:02:29,"E"
"C0245","Nieves Llado",1985-11-11,"Vancouver; BC V5K 7G2","2 Beechwood Street","(462) 469-0733","arathi@comcast.net",2008-03-11 14:03:14,"E"
"C0246","Juan Antonio Benet",1988-12-06,"Esquimalt; BC V9A 7T3","877 Coffee Ave.","(296) 380-9560","parkes@icloud.com",2018-06-09 07:12:22,"D"
"C0247","Gustavo Barbera Frias",1991-06-18,"Coldbrook; NS B4R 8S2","759 Mayfair Court","(770) 446-1820","cyrus@aol.com",2019-07-16 15:07:15,"B"
"C0248","Eliana Pacheco Ponce",1973-04-08,"Windsor; ON N8P 8C9","8921 West Oak Meadow Road","(752) 764-6341","isotopian@hotmail.com",2019-08-11 21:42:08,"B"
"C0249","Dalila Pino Verdu",1992-09-21,"Kanata; ON K2K 4A8","24 Edgemont St.","(420) 583-7227","marnanel@icloud.com",2013-07-05 14:53:22,"D"
"C0250","Marciano Diaz",1985-04-16,"McAdam; NB E6J 7T4","524 Dunbar Drive","(844) 867-2783","nwiger@verizon.net",2016-01-04 11:01:11,"B"
"C0251","Timoteo Pinilla Calderon",1975-06-05,"Hanover; ON N4N 0G1","4 Maple Street","(844) 548-7367","elmer@comcast.net",2019-12-17 14:14:29,"A"
"C0252","Malena Roma Barrena",1977-08-15,"Ottawa; ON K1G 0J7","7963 Third St.","(653) 247-2528","natepuri@gmail.com",2013-08-04 17:44:29,"A"
"C0253","Silvia Leon Duque",1991-04-12,"Mississauga; ON L4T 3V7","617 Liberty Dr.","(323) 918-8630","tmaek@gmail.com",2009-11-21 11:42:37,"A"
"C0254","Ema del Garrido",1986-01-24,"Wallaceburg; ON N8A 3M8","72 Circle St.","(951) 814-0240","manuals@yahoo.ca",2007-07-20 21:26:35,"E"
"C0255","Eva Gonzalez Cano",1972-11-12,"Windsor; LB A2B 0T8","616 Lyme Ave.","(286) 747-9510","neonatus@live.com",2015-05-29 15:32:53,"C"
"C0256","Eutropio Sedano Cabanillas",1987-10-03,"Cowansville; QC J2K 8Y0","901 Fairway Street","(780) 915-5789","crusader@verizon.net",2007-09-20 11:05:46,"E"
"C0257","Dafne Cerdan Pujol",1988-09-24,"Duvernay-Est; QC H7A 4A9","80 Gulf Drive","(611) 316-6464","dogdude@mac.com",2012-02-22 16:28:59,"D"
"C0258","oscar de Mascaro",1989-09-26,"Pitt Meadows; BC V3Y 0T2","9599 East Water Ave.","(347) 423-7150","mastinfo@outlook.com",2010-11-01 23:00:53,"B"
"C0259","Catalina Peralta Patino",1970-06-26,"Amqui; QC G5J 8E3","8850 Pulaski Dr.","(690) 391-9308","munge@verizon.net",2020-03-26 23:04:16,"A"
"C0260","Barbara Elorza Jorda",1989-11-28,"Enfield; NS B2T 5S6","703 Bay Ave.","(300) 748-5245","milton@att.net",2015-12-31 08:41:22,"D"
"C0261","Loreto Burgos",1980-05-20,"St. Martins; NB E5R 1J6","31 Temple Ave.","(399) 450-6042","redingtn@hotmail.com",2006-07-18 01:24:22,"C"
"C0262","Estela Marquez Arce",1972-12-18,"Stouffville; ON L4A 6L1","7058 Country Club Ave.","(941) 250-4612","fviegas@sbcglobal.net",2008-07-26 03:39:25,"C"
"C0263","Paloma Segarra Menendez",1978-03-09,"Kings County; NS B0P 9R3","91 Pineknoll Ave.","(979) 636-7422","rgarcia@live.com",2008-08-18 22:03:10,"A"
"C0264","Claudio Maximino Cobos Cordoba",1998-01-05,"Fort Saskatchewan; AB T8L 4M9","871 Gainsway Drive","(838) 478-1283","ovprit@msn.com",2017-04-07 21:43:41,"E"
"C0265","Josefina Rey Melendez",1973-01-12,"Laurentides-Sud; QC J0V 3M7","9536 Nut Swamp Dr.","(709) 730-9311","teverett@att.net",2013-04-14 03:08:05,"A"
"C0266","Nilda de Garrido",1982-12-29,"Black Lake; QC G6H 5M3","53 Old Belmont St.","(773) 468-1836","ghost@yahoo.ca",2006-09-18 20:12:56,"A"
"C0267","Gregorio Llabres-Rebollo",1983-03-30,"Charny; QC G6X 9G6","9451 Stonybrook Court","(629) 776-7927","intlprog@verizon.net",2005-07-27 05:33:12,"D"
"C0268","Edmundo de Marco",1993-09-28,"Okotoks; AB T1S 0P8","5 Rockland Court","(374) 637-9848","frosal@msn.com",2018-07-11 08:25:20,"E"
"C0269","Amaya Ruiz Campoy",1985-01-30,"Boiestown; NB E6A 0J5","209 North Primrose Street","(614) 742-3346","sabren@comcast.net",2007-10-22 23:22:31,"E"
"C0270","Nacio Perera Lerma",1995-08-17,"Port Alberni; BC V9Y 6C7","14 Military Street","(591) 540-1501","hermes@outlook.com",2009-09-13 11:54:40,"A"
"C0271","Damian Vicens Cabrera",1995-11-03,"Cochrane; AB T4C 6R2","9282 Border Street","(674) 692-6307","shrapnull@live.com",2021-03-01 04:22:34,"E"
"C0272","Marcela Teofila Arnal Lasa",1999-04-22,"Hampton; NB E5N 2B1","258 Bohemia St.","(613) 385-7225","jimmichie@optonline.net",2006-04-26 14:15:37,"C"
"C0273","Reina Losada Alfonso",1981-02-19,"Grand Manan Island; NB E5G 6V4","740 Jones St.","(911) 247-1909","bjornk@aol.com",2014-10-15 14:27:08,"C"
"C0274","Isa Arenas Mariscal",1972-04-27,"Petawawa; ON K8H 6P6","592 Linden Ave.","(428) 712-4844","ghost@sbcglobal.net",2015-10-18 05:36:32,"E"
"C0275","Morena Roura",1998-09-01,"Cap-Rouge; QC G1Y 7T2","67 Sheffield Ave.","(911) 550-2155","curly@icloud.com",2009-01-28 11:47:53,"D"
"C0276","Odalys Benitez",1996-10-16,"Prince Rupert; BC V8J 9N3","19 Tallwood St.","(593) 925-4662","jacks@outlook.com",2021-04-29 00:04:40,"C"
"C0277","Emma del Amor",1980-10-08,"Acton; ON L7J 3T8","389 Ridge Street","(538) 584-5847","mbswan@optonline.net",2015-04-26 06:50:15,"B"
"C0278","Seve Villanueva Anaya",1975-02-06,"Lac-Megantic; QC G6B 4L9","329 Carpenter Court","(336) 788-8866","jelmer@gmail.com",2014-04-30 18:51:22,"B"
"C0279","Montserrat Armas Salamanca",1994-03-11,"Innisfail; AB T4G 7N5","60 St Margarets Street","(878) 213-7548","podmaster@yahoo.com",2013-09-30 11:32:28,"E"
"C0280","Ildefonso Feliu Esteban",1997-06-14,"Le Fjord; QC G0T 3E3","968 E. Aspen Lane","(544) 332-6097","malin@verizon.net",2019-07-28 05:36:40,"B"
"C0281","Ligia Ocana Arregui",1987-12-02,"Grande-Anse; NB E8N 7C1","12 Winding Way St.","(992) 343-2800","dsugal@hotmail.com",2019-02-28 05:58:03,"B"
"C0282","Sarita Neira Toro",1981-04-06,"Kimberley; BC V1A 5S2","859 Greenview Dr.","(272) 202-0144","ninenine@icloud.com",2016-06-14 10:36:11,"D"
"C0283","Timoteo Pacheco Pozo",1970-04-20,"St. Albert; AB T8N 8R8","9286 E. Bayberry Street","(738) 345-5103","damian@icloud.com",2011-12-08 19:58:14,"A"
"C0284","Ester Anabel Fabregat Nunez",1991-06-11,"Bass River; NB E4T 4R0","128 Richardson St.","(713) 922-0553","phish@hotmail.com",2017-09-17 06:49:59,"A"
"C0285","Rosenda Villanueva Herrera",1987-08-09,"Parksville; BC V9P 5L2","118 Pineknoll Drive","(682) 502-1976","rnelson@gmail.com",2014-04-20 17:12:00,"D"
"C0286","Ariel Gallego Diego",1981-08-16,"La Plaine; QC J7M 5N3","28 Pennsylvania Street","(260) 372-4164","slaff@aol.com",2013-02-18 06:45:24,"E"
"C0287","Juliana Alarcon Molins",1983-06-23,"Leamington; ON N8H 0N3","334 Mechanic Lane","(502) 779-9801","ninenine@live.com",2005-06-12 02:24:05,"D"
"C0288","Catalina Mendez",1995-01-07,"Strathmore; AB T1P 9V5","798 Clark Rd.","(687) 734-3575","johnh@yahoo.ca",2018-12-30 03:35:17,"E"
"C0289","Susanita Pascual Salamanca",1972-12-10,"Youngs Cove; NB E4C 4K5","735 Spruce Ave.","(503) 471-0311","ryanshaw@comcast.net",2017-11-01 17:34:47,"D"
"C0290","Dimas Rafael Polo Bravo",1970-08-05,"Chatham; QC J8G 7X7","603 Elm Lane","(640) 467-1066","gerlo@yahoo.ca",2013-06-23 16:50:50,"B"
"C0291","Anabel Pou Lasa",1972-09-29,"Eskasoni; NS B1W 1S9","72 Paris Hill Ave.","(350) 900-0774","noneme@me.com",2006-11-28 08:08:23,"A"
"C0292","Nadia Natividad Marco Flores",1985-05-14,"Parry Sound; ON P2A 5R6","94 Valley View Rd.","(593) 907-1562","squirrel@comcast.net",2017-06-16 22:30:47,"C"
"C0293","Maximo Tellez Ferrera",1997-10-07,"Lanaudiere-Nord; QC J0K 8T8","8 E. Miles Dr.","(848) 559-5729","sakusha@yahoo.com",2019-03-07 06:37:42,"E"
"C0294","Gala Clarisa Ballesteros Llopis",1986-12-31,"Saint-Colomban; QC J5K 6C2","672 Albany St.","(986) 369-4687","seano@sbcglobal.net",2011-08-09 18:33:05,"D"
"C0295","Amancio Aliaga Sierra",1991-02-25,"Huntsville; ON P1H 2C9","22 Jackson Rd.","(815) 645-0166","bmidd@msn.com",2009-12-12 17:54:38,"B"
"C0296","Cesar Nogues Tomas",1973-07-13,"Lachute; QC J8H 9V1","22 Ridge Lane","(456) 670-3912","oracle@verizon.net",2012-05-18 05:23:39,"D"
"C0297","Brigida Jove Carretero",1998-04-07,"St. Stephen; NB E3L 2A8","8557 West Greenview Dr.","(997) 481-7573","jrifkin@yahoo.com",2020-12-14 00:58:27,"D"
"C0298","Vito del Abad",1980-09-01,"Îles-Laval; QC H7Y 1X2","8824 Liberty Drive","(571) 271-7420","sherzodr@att.net",2017-08-05 15:14:56,"E"
"C0299","Nayara Fanny Julia Sierra",1998-02-22,"Grand Falls; LB A2A 2C6","368 Fifth Dr.","(674) 672-8423","rsmartin@msn.com",2007-01-26 17:06:46,"B"
"C0300","Isidoro Salas Marques",1980-10-04,"Ville emard; QC H4E 1K4","61 San Carlos Rd.","(505) 554-8992","jsbach@aol.com",2006-09-08 23:38:54,"D"
"C0301","Vicente Palomino Adadia",1979-12-29,"Napanee; ON K7R 6V1","37 Peninsula Street","(826) 231-0876","wmszeliga@mac.com",2006-08-02 21:03:06,"A"
"C0302","Sandalio de Figueroa",1978-06-23,"Woodstock; NB E7M 8P6","149 Jennings Road","(499) 874-0371","william@hotmail.com",2016-04-07 20:46:09,"E"
"C0303","Elodia Pinto",1999-12-09,"Dorchester; NB E4K 6V5","59 W. Anderson Lane","(317) 232-9358","gastown@comcast.net",2011-09-18 02:38:21,"B"
"C0304","Felipe Carro Ramis",1992-05-20,"Greely; ON K4P 4T2","685 High Noon Lane","(852) 388-3751","improv@live.com",2020-04-20 23:18:39,"C"
"C0305","Ana Belen Alvarado Bueno",1970-03-13,"Boucherville; QC J4B 9T3","42 Johnson Dr.","(366) 604-3609","gfxguy@outlook.com",2009-08-11 22:42:10,"D"
"C0306","Marisela Sanmiguel Pedraza",1995-03-12,"Lacombe; AB T4L 0S1","7976 North Street","(800) 687-3027","marcs@outlook.com",2017-10-11 09:13:06,"D"
"C0307","Jesusa Benavente Ferrandez",1997-07-31,"Labrador City; LB A2V 8L0","394 Hanover St.","(924) 920-0218","skippy@yahoo.ca",2010-11-02 09:40:32,"D"
"C0308","Alonso Diaz Donoso",1996-04-14,"Grimsby; ON L3M 5X9","9697 South Mountainview Street","(733) 648-0855","jyoliver@sbcglobal.net",2019-05-12 03:15:09,"C"
"C0309","Filomena Pombo Pla",1978-03-21,"Cobourg; ON K9A 5G0","60 Carpenter Street","(496) 879-5338","afifi@hotmail.com",2013-12-30 17:51:06,"A"
"C0310","Cristobal Cabello-Pol",1993-05-07,"Chelsea; QC J9B 5K1","343 Oxford St.","(363) 981-6810","muadip@gmail.com",2018-09-06 02:00:02,"B"
"C0311","Maribel Murillo Alcaraz",1977-09-18,"Qualicum Beach; BC V9K 4J5","490 Lantern Street","(643) 252-3203","hyper@icloud.com",2010-06-27 16:57:06,"B"
"C0312","Mayte Cuesta Acosta",1977-01-05,"Dunnville; ON N1A 2R5","8158 S. Marvon Ave.","(491) 779-1547","spadkins@att.net",2011-09-19 01:21:59,"B"
"C0313","Remigio Villalonga Roman",1990-10-29,"Vimont; QC H7M 0J1","7651 Carriage Dr.","(731) 808-7183","oneiros@icloud.com",2019-08-19 15:41:30,"B"
"C0314","Vanesa Villaverde",1986-07-05,"Port Perry; ON L9L 6K8","7313 Eagle Ave.","(879) 310-9113","miltchev@gmail.com",2007-06-12 00:41:08,"B"
"C0315","Maristela Corbacho Alegria",1974-11-29,"Saint Petersburg; FL 33710","127 Rockwell Lane","(944) 942-5965","uqmcolyv@att.net",2005-04-21 04:44:36,"C"
"C0316","Manuelita Cervera Botella",1989-05-27,"Miami; FL 33135","107 Cedar Street","(257) 383-2777","william@comcast.net",2014-06-12 13:37:22,"E"
"C0317","Borja Canet Gallo",1999-07-16,"New Port Richey; FL 34653","20 Ivy St.","(286) 539-1526","lipeng@comcast.net",2017-07-20 00:57:21,"E"
"C0318","Clotilde Chita Fabregas Toro",1986-06-19,"Fort Lauderdale; FL 33312","63 Stillwater St.","(408) 475-2351","sbmrjbr@msn.com",2014-04-01 21:08:47,"C"
"C0319","Olimpia Girona Paredes",1973-04-07,"Tampa; FL 33614","209 North Newbridge Drive","(654) 850-5430","ryanvm@sbcglobal.net",2009-06-16 13:18:39,"A"
"C0320","Ruben de Arribas",1977-02-19,"Jacksonville; FL 32205","85 Ridgeview Drive","(704) 732-6961","mbswan@msn.com",2018-12-17 06:21:01,"C"
"C0321","edgar Manu Suarez Anglada",1975-05-23,"Miami; FL 33161","60 Surrey Rd.","(400) 235-6788","dbanarse@yahoo.ca",2008-07-28 14:54:19,"C"
"C0322","Luna Morcillo Carretero",1985-04-15,"Bradenton; FL 34205","556 Pleasant St.","(363) 851-7332","frikazoyd@me.com",2018-02-28 02:55:35,"C"
"C0323","Eladio Salcedo Cabanillas",1983-12-31,"Fort Myers; FL 33912","31 Heritage Street","(892) 211-3578","mosses@gmail.com",2015-02-18 06:30:44,"C"
"C0324","Gisela Camara Duarte",1985-03-14,"Tampa; FL 33624","8904 Vermont Drive","(231) 936-5897","parasite@optonline.net",2021-03-16 11:15:10,"B"
"C0325","Nicanor de Moliner",1977-11-08,"Opa Locka; FL 33055","886 Snake Hill St.","(609) 914-4233","samavati@me.com",2021-03-27 16:55:51,"E"
"C0326","Rosario Paz Figueroa",1979-09-13,"Winter Haven; FL 33880","212 Canal St.","(776) 448-2874","rfoley@mac.com",2013-04-24 10:41:30,"A"
